Honorific,Salutation,Post Nominals,Surname,Image ,First Name,Preferred Name,Email,Facebook,Twitter,Other,Electorate,State,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Parliamental and Ministerial Titles
Hon,Mr,MP,Bowen,/images/mps/10060.jpg,Christopher,Chris,Chris.Bowen.MP@aph.gov.au,http://www.facebook.com/chrisbowenmp,http://twitter.com/Bowenchris,,McMahon,NSW,(02) 6277 4822,(02) 6277 8587,Shops 3 & 4,398 Hamilton Road,Fairfield,NSW,2165,(02) 9604 0710,(02) 9609 3873,PO Box W210,Fairfield West,NSW,2165,Shadow Minister for Health
Mr,Mr,MP,Broadbent,/images/mps/10069.jpg,Russell,Russell,Russell.Broadbent.MP@aph.gov.au,,,,Monash,VIC,(02) 6277 4233,(02) 6277 8485,46C Albert Street,,Warragul,VIC,3820,(03) 5623 2064,(03) 5623 2509,46C Albert Street,Warragul,VIC,3820,Ê
Hon,Mr,MP,Buchholz,/images/mps/10752.jpg,Scott,,,http://www.facebook.com/ScottBuchholzMP,http://twitter.com/ScottBuchholzMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=230531,Wright,QLD,(02) 6277 4144,(02) 6277 4177,21 William Street,,Beaudesert,QLD,4285,(07) 5541 0150,(07) 5541 4150,PO Box 628,Beaudesert,QLD,4285,Assistant Minister for Road Safety and Freight Transport
Hon,Mr,MP,Burke,/images/mps/10081.jpg,Anthony,Tony,Tony.Burke.MP@aph.gov.au,http://www.facebook.com/tony.burke.mp,http://twitter.com/tony_burke,,Watson,NSW,(02) 6277 4410,(02) 6277 2215,"Shop 29, Broadway Plaza",,Punchbowl,NSW,2196,(02) 9750 9088,(02) 9759 2859,PO Box 156,Punchbowl,NSW,2196,Shadow Minister for the ArtsShadow Minister for Industrial RelationsManager of Opposition Business in the House of Representatives
Hon,Ms,MP,Burney,/images/mps/10858.jpg,Linda,,Linda.Burney.MP@aph.gov.au,https://www.facebook.com/LindaBurneyMP,http://twitter.com/lindaburneymp,,Barton,NSW,(02) 6277 4623,(02) 6277 8527,"Suite 203/13A, Montgomery Street",,Kogarah,NSW,2217,(02) 9587 1555,(02) 9587 1544,"Suite 203/13A, Montgomery Street",Kogarah,NSW,2217,Shadow Minister for Families and Social ServicesShadow Minister for Indigenous Australians
Mr,Mr,MP,Burns,/images/mps/10934.jpg,Josh,Josh,Josh.Burns.MP@aph.gov.au,,,,Macnamara,VIC,(02) 6277 4479,(02) 6277 8432,219 Barkly Street,,St Kilda,VIC,3182,(03) 9534 8126,,219 Barkly Street,St Kilda,VIC,3182,Ê
Hon,Mr,MP,Butler,/images/mps/10825.jpg,Terri,,Terri.Butler.MP@aph.gov.au,https://www.facebook.com/butler4griffith,https://twitter.com/terrimbutler,,Griffith,QLD,(02) 6277 4877,(02) 6277 8497,"Unit 14, 76 Old Cleveland Road",,Greenslopes,QLD,4120,(07) 3397 1674,(07) 3397 1697,PO Box 737,Coorparoo,QLD,4151,Shadow Minister for the Environment and Water
Ms,Ms,MP,Butler,/images/mps/10086.jpg,Mark,Terri,,,http://twitter.com/Mark_Butler_MP,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWK,Hindmarsh,SA,(02) 6277 4089,(02) 6277 2222,21 Commercial Road,,Port Adelaide,SA,5015,(08) 8241 0190,(08) 8241 0198,PO Box 2038,Port Adelaide,SA,5015,Shadow Minister for Climate Change and EnergyDeputy Manager of Opposition Business in the House of Representatives
Hon,Mr,MP,Byrne,/images/mps/10088.jpg,Anthony,,Anthony.Byrne.MP@aph.gov.au,http://www.facebook.com/anthonybyrne,http://twitter.com/AnthonyByrne_MP,,Holt,VIC,(02) 6277 4309,(02) 6277 8473,"Shop 7, 1060 Thompsons Road",,Cranbourne West,VIC,3977,(03) 8790 0556,,"Shop 7, 1060 Thompsons Road",Cranbourne West,VIC,3977,Ê
Dr,Dr,MP,Chalmers,/images/mps/10809.jpg,James,Jim,,https://www.facebook.com/jim4rankin,https://twitter.com/JEChalmers,/Senators_and_Members/Contact_Senator_or_Member?MPID=37998,Rankin,QLD,(02) 6277 4880,(02) 6277 4908,"Unit 2A, Logan Central Plaza",38-74 Wembley Road,Logan Central,QLD,4114,(07) 3299 5910,(07) 3208 8744,PO Box 349,Woodridge,QLD,4114,Shadow Treasurer
Mr,Mr,MP,Champion,/images/mps/10111.jpg,Nicholas,Nick,Nick.Champion.MP@aph.gov.au,http://www.facebook.com/pages/Nick-Champion-MP/325495831575,http://twitter.com/NickChampionMP,,Spence,SA,(02) 6277 4451,(02) 6277 8511,"Tenancy 8, 2-10 James Street",,Salisbury,SA,5108,(08) 8258 6300,,"Tenancy 8, 2-10 James Street",Salisbury,SA,5108,Ê
Hon,Mr,MP,Chester,/images/mps/10703.jpg,Darren,Darren,,https://www.facebook.com/darrenchestermp,https://twitter.com/DarrenChesterMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=IPZ,Gippsland,VIC,(02) 6277 7820,,"Level 1, 89 Raymond Street",,Sale,VIC,3850,(03) 5144 6744,(03) 5144 3945,PO Box 486,Sale,VIC,3853,Deputy Leader of the HouseMinister for Veterans' AffairsMinister for Defence Personnel
Ms,Ms,MP,Chesters,/images/mps/10787.jpg,Lisa,Lisa,,https://www.facebook.com/LisaChestersBendigo,https://twitter.com/LMChesters,/Senators_and_Members/Contact_Senator_or_Member?MPID=249710,Bendigo,VIC,(02) 6277 4657,(02) 6277 2357,Cnr. Williamson & Myers Streets,,Bendigo,VIC,3550,(03) 5443 9055,(03) 5443 9736,PO Box 338,Bendigo,VIC,3550,Ê
Mr,Mr,MP,Christensen,/images/mps/10726.jpg,George,George,,https://www.facebook.com/georgechristensen78,,/Senators_and_Members/Contact_Senator_or_Member?MPID=230485,Dawson,QLD,(02) 6277 4538,(02) 6277 8508,2/21 Milton Street,,Mackay,QLD,4740,(07) 4944 0662,(07) 4944 0575,PO Box 1697,Mackay,QLD,4740,Ê
Hon,Mr,MP,Clare,/images/mps/10123.jpg,Jason,,,https://www.facebook.com/JasonClareMP,http://twitter.com/JasonClareMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWL,Blaxland,NSW,(02) 6277 4904,(02) 6277 4750,"Suite 7 Level 1, 400 Chapel Road",,Bankstown,NSW,2200,(02) 9790 2466,(02) 9790 0770,PO Box 153,Bankstown,NSW,1885,"Shadow Minister for Regional Services, Territories and Local GovernmentShadow Minister for Housing and Homelessness"
Ms,Ms,MP,Claydon,/images/mps/10805.jpg,Sharon,Sharon,,https://www.facebook.com/SharonClaydonforNewcastle,https://twitter.com/SharonClaydon,/Senators_and_Members/Contact_Senator_or_Member?MPID=248181,Newcastle,NSW,(02) 6277 4285,(02) 6277 2378,427 Hunter Street,,Newcastle,NSW,2300,(02) 4926 1555,(02) 4926 1895,427 Hunter Street,Newcastle,NSW,2300,Ê
Ms,Ms,MP,Coker,/images/mps/10921.jpg,Elizabeth,Libby,Libby.Coker.MP@aph.gov.au,https://www.facebook.com/libbycokermp,https://www.twitter.com/LibbyCokerMP,,Corangamite,VIC,(02) 6277 4363,(02) 6277 8436,3A/195 Colac Road,,Waurn Ponds,VIC,3216,(03) 5243 1444,,3A/195 Colac Road,Waurn Ponds ,VIC,3216,Ê
Hon,Mr,MP,Coleman,/images/mps/10783.jpg,David,David,,https://www.facebook.com/davidcoleman4banks,,/Senators_and_Members/Contact_Senator_or_Member?MPID=241067,Banks,NSW,(02) 6277 7770,,22 Revesby Place,,Revesby,NSW,2212,(02) 9771 3400,(02) 9773 4144,PO Box 564,Revesby,NSW,2212,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
Hon,Ms,MP,Collins,/images/mps/10136.jpg,Julie,,,https://www.facebook.com/juliecollinsmp,https://twitter.com/JulieCollinsMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWM,Franklin,TAS,(02) 6277 4107,(02) 6277 2321,18 Ross Avenue,,Rosny Park,TAS,7018,(03) 6244 1222,,PO Box 38,Rosny Park,TAS,7018,Shadow Minister for Ageing and SeniorsShadow Minister for Women
Mr,Mr,MP,Conaghan,/images/mps/10922.jpg,Patrick,Pat,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=279991,Cowper,NSW,(02) 6277 4446,(02) 6277 8474,39 Little Street,,Coffs Harbour ,NSW,2450,(02) 6652 6233,,PO Box 2056,Coffs Harbour ,NSW,2450,Ê
Mr,Mr,MP,Connelly,/images/mps/10939.jpg,Vincent,Vince,Vince.Connelly.MP@aph.gov.au,https://www.facebook.com/vince4stirling/ ,,,Stirling,WA,(02) 6277 4416,(02) 6277 8467,"Tenancy 3, Level 1",31 Cedric Street,Stirling ,WA,6021,(08) 9344 2373,,PO Box 989,Innaloo,WA,6918,Ê
Mr,Mr,MP,Conroy,/images/mps/10813.jpg,Patrick,Pat,Pat.Conroy.MP@aph.gov.au,https://www.facebook.com/PatConroyLaborforCharlton,,/Senators_and_Members/Contact_Senator_or_Member?MPID=249127,Shortland,NSW,(02) 6277 4863,(02) 6277 4963,Suite 1A,571 Pacific Highway,Belmont,NSW,2280,(02) 4947 9546,(02) 4945 3764,PO Box 499,Belmont,NSW,2280,Shadow Minister for International Development and the PacificShadow Minister Assisting for Climate ChangeShadow Minister Assisting for Defence
Hon,Mr,MP,Coulton,/images/mps/10152.jpg,Mark,,Mark.Coulton.MP@aph.gov.au,http://www.facebook.com/people/Mark-Coulton/732382571,https://twitter.com/MarkCoultonMP,,Parkes,NSW,(02) 6277 7495,,"Shop 3, 153 Brisbane Street",,Dubbo,NSW,2830,(02) 6882 0999,(02) 6882 9935,"Shop 3, 153 Brisbane Street",Dubbo,NSW,2830,"Deputy Speaker, House of Representatives"
Mr,Mr,MP,Dick,/images/mps/10880.jpg,Dugald,Milton,,,,,Oxley,QLD,(02) 6277 4910,(02) 6277 8448,255 Forest Lake Boulevard,,Forest Lake,QLD,4078,(07) 3879 6440,(07) 3879 6441,PO Box 4042,Forest Lake,QLD,4078,Ê
Hon,Mr,QC MP,Dreyfus,/images/mps/10181.jpg,Mark,Mark,,http://en-gb.facebook.com/mark.dreyfus,,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWG,Isaacs,VIC,(02) 6277 4205,(02) 6277 8523,566 Main Street,,Mordialloc,VIC,3195,(03) 9580 4651,,566 Main Street,Mordialloc,VIC,3195,Shadow Attorney GeneralShadow Minister for Constitutional Reform
Hon,Mr,MP,Drum,/images/mps/10875.jpg,Damian,Damian,,http://www.twitter.com/damiandrummp,http://www.twitter.com/damiandrummp,/Senators_and_Members/Contact_Senator_or_Member?MPID=56430,Nicholls,VIC,(02) 6277 4068,(02) 6277 8534,426 Wyndham Street,,Shepparton,VIC,3630,(03) 5821 5371,,426 Wyndham Street,Shepparton,VIC,3630,Ê
Hon,Mr,MP,Dutton,/images/mps/10188.jpg,Peter,,Peter.Dutton.MP@aph.gov.au,http://www.facebook.com/peterduttonmp,http://twitter.com/PeterDutton_MP,,Dickson,QLD,(02) 6277 7860,,3/199 Gympie Road,,Strathpine,QLD,4500,(07) 3205 9977,(07) 3205 5111,PO Box 2012,Strathpine,QLD,4500,Minister for Home Affairs
Hon,Mrs,MP,Elliot,/images/mps/10195.jpg,Maria,Justine,Justine.Elliot.MP@aph.gov.au,,,,Richmond,NSW,(02) 6277 4554,(02) 6277 8520,"Suite 6, Hallmark Centre, 107-111 Minjungbal Drive",,Tweed Heads South,NSW,2486,(07) 5523 4371,(07) 5523 4379,PO Box 6996,Tweed Heads South,NSW,2486,Ê
Hon,Mr,MP,Entsch,/images/mps/10203.jpg,Warren,Warren,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=7K6,Leichhardt,QLD,(02) 6277 4803,(02) 6277 2238,"Units 3 & 4, 200 Mulgrave Road",Westcourt,Cairns,QLD,4870,(07) 4051 2220,(07) 4031 1592,PO Box 14,Bungalow,QLD,4870,Ê
Hon,Mr,MP,Evans,/images/mps/10881.jpg,Trevor,Trevor,Trevor.Evans.MP@aph.gov.au,http://www.facebook.com/trevorevansbne,,,Brisbane,QLD,(02) 6277 2008,(02) 6277 8411,349 Sandgate Road,,Albion,QLD,4010,(07) 3862 4044,,PO Box 143,Albion DC,QLD,4010,Assistant Minister for Waste Reduction and Environmental Management
Mr,Mr,MP,Falinski,/images/mps/10878.jpg,Jason,Jason,Jason.Falinski.MP@aph.gov.au,http://www.facebook.com/JasonFalinskiMP,http://twitter.com/jasonfalinskiMP,,Mackellar,NSW,(02) 6277 2324,(02) 6277 8555,"Shop 1, 1238-1246",Pittwater Road,Narrabeen,NSW,2101,(02) 8484 0300,(02) 9913 9577,"Shop 1, 1238-1246 Pittwater Road",Narrabeen,NSW,2101,Ê
Hon,Mr,MP,Fitzgibbon,/images/mps/10230.jpg,Joel,,Joel.Fitzgibbon.MP@aph.gov.au,https://www.facebook.com/JoelFitzgibbonMP,http://twitter.com/fitzhunter,,Hunter,NSW,(02) 6277 4550,(02) 6277 8556,3 Edward Street,,Cessnock,NSW,2325,(02) 4991 1022,(02) 4991 2322,PO Box 526,Cessnock,NSW,2325,Shadow Minister for Agriculture and Resources
Hon,Mr,MP,Fletcher,/images/mps/10723.jpg,Paul,Paul,Paul.Fletcher.MP@aph.gov.au,https://www.facebook.com/paulfletchermp,https://twitter.com/PaulFletcherMP,,Bradfield,NSW,(02) 6277 7480,,"Suite 1, Level 2",280 Pacific Highway,Lindfield,NSW,2070,(02) 9465 3950,(02) 9465 3999,"Suite 1, Level 2,",Lindfield,NSW,2070,"Minister for Communications, Cyber Safety and the Arts"
Ms,Ms,MP,Flint,/images/mps/10882.jpg,Nicolle,,Nicolle.Flint.MP@aph.gov.au,https://www.facebook.com/NicolleFlintLiberal,https://twitter.com/nicolleflint,,Boothby,SA,(02) 6277 2057,(02) 6277 8415,"Shop 2, 670 Anzac Highway",,Glenelg East,SA,5045,(08) 8374 0511,,"Shop 2, 670 Anzac Highway",Glenelg East,SA,5045,Ê
Dr,Dr,MP,Freelander,/images/mps/10872.jpg,Michael,Mike,,,,,Macarthur,NSW,(02) 6277 2311,(02) 6277 8537,37 Queen Street,,Campbelltown,NSW,2560,(02) 4620 0293,(02) 4620 4414,PO Box 88,Campbelltown,NSW,2560,Ê
Hon,Mr,MP,Frydenberg,/images/mps/10741.jpg,Joshua,Josh,,http://www.facebook.com/JoshFrydenbergMP,http://twitter.com/JoshFrydenberg,,Kooyong,VIC,(02) 6277 7340,,695 Burke Road,,Camberwell,VIC,3124,(03) 9882 3677,,695 Burke Road,Camberwell,VIC,3124,TreasurerDeputy Leader of the Liberal Party
Hon,Mr,MP,Gee,/images/mps/10883.jpg,Andrew,Andrew,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=261393,Calare,NSW,(02) 6277 7630,,Suite  1/179A Anson Street,,Orange,NSW,2800,(02) 6361 7138,(02) 6362 3480,PO Box 673,Orange,NSW,2800,Minister for Decentralisation and Regional EducationMinister Assisting the Minister for Trade and Investment
Mr,Mr,MP,Georganas,/images/mps/10245.jpg,Steven,Steve,Steve.Georganas.MP@aph.gov.au,http://www.facebook.com/memberforhindmarsh,http://twitter.com/stevegeorganas,,Adelaide,SA,(02) 6277 4816,(02) 6277 8521,161a Main North Road,,Nailsworth,SA,5083,(08) 8269 2433,(08) 8269 2488,161a Main North Road,Nailsworth,SA,5083,Ê
Mr,Mr,MP,Giles,/images/mps/10812.jpg,Andrew,Andrew,,https://www.facebook.com/AndrewGilesScullin,https://twitter.com/andrewjgiles,/Senators_and_Members/Contact_Senator_or_Member?MPID=243609,Scullin,VIC,(02) 6277 4044,(02) 6277 8417,Shop 23-25,314-360 Childs Rd,Mill Park,VIC,3082,(03) 9404 1911,,PO Box 167,Mill Park LPO,VIC,3082,Shadow Minister for Cities and Urban InfrastructureShadow Minister for Multicultural AffairsShadow Minister Assisting for Immigration and Citizenship
Hon Dr,Dr,MP,Gillespie,/images/mps/10801.jpg,David,David,,https://www.facebook.com/DavidGillespieMP,https://twitter.com/DaveGillespieMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=72184,Lyne,NSW,(02) 6277 4960,(02) 6277 2856,Shops 2 & 3,43 High Street,Wauchope,NSW,2446,(02) 6586 4462,(02) 6586 0934,PO Box 244,Wauchope,NSW,2446,Ê
Mr,Mr,MP,Goodenough,/images/mps/10804.jpg,Ian,Ian,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=74046,Moore,WA,(02) 6277 4651,(02) 6277 2082,"Suite 6, 129 Grand Boulevard",,Joondalup,WA,6027,(08) 9300 2244,(08) 9300 2245,3 Boas Ave,Joondalup,WA,6027,Ê
Mr,Mr,MP,Gorman,/images/mps/10911.jpg,Patrick,Patrick,Patrick.Gorman.MP@aph.gov.au,https://www.facebook.com/PatrickGormanMP,https://twitter.com/PatrickGormanMP,,Perth,WA,(02) 6277 4995,(02) 6277 8496,953 A Beaufort Street,,Inglewood,WA,6052,(08) 9272 3411,(08) 9272 3477,PO Box 901,Inglewood,WA,6932,Ê
Mr,Mr,OAM MP,Gosling,/images/mps/10877.jpg,Luke,Luke,Luke.Gosling.MP@aph.gov.au,https://www.facebook.com/luke.j.gosling,https://twitter.com/lukejgosling,,Solomon,NT,(02) 6277 4933,(02) 6277 8427,3/266 Trower Road,,Casuarina,NT,810,(08) 8928 0180,,PO Box 43300,Casuarina,NT,810,Ê
Dr,Dr,MP,Haines,/images/mps/10929.jpg,Helen,Helen,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=282335,Indi,VIC,(02) 6277 4182,(02) 6277 8423,117 Murphy Street,,Wangaratta,VIC,3677,(03) 5721 7077,,117 Murphy Street,Wangaratta,VIC,3677,Ê
Ms,Ms,MP,Hammond,/images/mps/10923.jpg,Celia,Celia,Celia.Hammond.MP@aph.gov.au,https://www.facebook.com/CeliaHammondMP,,,Curtin,WA,(02) 6277 4303,(02) 6277 8410,Shop 98 Floreat Forum Shopping Centre,5 Howtree Place,Floreat,WA,6014,(08) 9388 0288,,PO Box 2010,Subiaco,WA,6904,Ê
Mr,Mr,MP,Hastie,/images/mps/10843.jpg,Andrew,Andrew,Andrew.Hastie.MP@aph.gov.au,https://www.facebook.com/hastieandrew,,/Senators_and_Members/Contact_Senator_or_Member?MPID=260805,Canning,WA,(02) 6277 4223,(02) 6277 4181,Unit 2,61 Sutton Street,Mandurah,WA,6210,(08) 9534 8044,,PO Box 968,Mandurah,WA,6210,Ê
Hon,Mr,MP,Hawke,/images/mps/10290.jpg,Alexander,Alex,http://www.facebook.com/alex.hawke.mp,http://twitter.com/alexhawkemp,,/Senators_and_Members/Contact_Senator_or_Member?MPID=HWO,Mitchell,NSW,(02) 6277 7110,,Suite 8,23 Terminus Street,Castle Hill,NSW,2154,(02) 9899 7211,(02) 9899 7990,PO Box 1173,Castle Hill,NSW,2154,Minister for International Development and the PacificAssistant Defence Minister
Mr,Mr,MP,Hayes,/images/mps/10294.jpg,Christopher,Chris,Chris.Hayes.MP@aph.gov.au,http://www.facebook.com/ChrisHayesMP,,,Fowler,NSW,(02) 6277 4083,(02) 6277 2309,Level 2,24-32 Hughes Street,Cabramatta,NSW,2166,(02) 9726 3988,(02) 9727 2240,PO Box 205,Cabramatta,NSW,2166,Ê
Mr,Mr,MP,Hill,/images/mps/10885.jpg,Julian,Julian,Julian.Hill.MP@aph.gov.au,https://www.facebook.com/JulianHillMP,https://www.twitter.com/JulianHillMP,,Bruce,VIC,(02) 6277 2174,(02) 6277 8492,45 Robinson Street,,Dandenong,VIC,3175,(03) 9791 7770,,45 Robinson Street,Dandenong,VIC,3175,Ê
Hon,Mr,MP,Hogan,/images/mps/10806.jpg,Kevin,Kevin,Kevin.Hogan.MP@aph.gov.au,https://www.facebook.com/KevinHoganMP,https://twitter.com/KevinHoganMP,,Page,NSW,(02) 6277 4746,(02) 6277 2278,61-63 Molesworth Street,,Lismore,NSW,2480,(02) 6621 4044,(02) 6621 4255,61-63 Molesworth Street,Lismore,NSW,2480,Assistant Minister to the Deputy Prime Minister
Hon,Mr,MP,Howarth,/images/mps/10808.jpg,Luke,Luke,,https://www.facebook.com/LukeHowarthMP,,,Petrie,QLD,(02) 6277 4018,(02) 6277 2361,40 Hornibrook Esplanade,,Clontarf,QLD,4019,(07) 3284 8008,(07) 3284 8002,PO Box 321,Clontarf,QLD,4019,"Assistant Minister for Community Housing, Homelessness and Community Services"
Hon,Mr,MP,Hunt,/images/mps/10319.jpg,Gregory,Greg,Greg.Hunt.MP@aph.gov.au,http://www.facebook.com/greg.hunt.mp,http://www.twitter.com/greghuntmp,,Flinders,VIC,(02) 6277 7220,(02) 6273 4146,1/49 Eramosa Road West,,Somerville,VIC,3912,(03) 5977 9082,,PO Box 647,Somerville,VIC,3912,Minister for HealthMinister Assisting the Prime Minister for the Public Service and Cabinet
Hon,Mr,MP,Husic,/images/mps/10749.jpg,Edham,Ed,,http://www.facebook.com/ehusic,,/Senators_and_Members/Contact_Senator_or_Member?MPID=91219,Chifley,NSW,(02) 6277 4488,(02) 6277 8590,6/15 Cleeve Close,,Mt Druitt,NSW,2770,(02) 9625 4344,(02) 9832 2641,PO Box 259,Mt Druitt,NSW,2770,Ê
Hon,Mr,MP,Irons,/images/mps/10326.jpg,Stephen,Steve,,https://www.facebook.com/pages/Steve-Irons-MP-Federal-Member-for-Swan/162172533830403,http://twitter.com/SteveIronsMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=HYM,Swan,WA,(02) 6277 4337,(02) 6277 8494,"G3, 59 Albany Highway",,Victoria Park,WA,6101,(08) 9355 0099,(08) 9355 0199,PO Box 1060,East Victoria Park,WA,6981,"Assistant Minister for Vocational Education, Training and Apprenticeships"
Mr,Mr,MP,Jones,/images/mps/10740.jpg,Stephen,Stephen,Stephen.Jones.MP@aph.gov.au,http://www.facebook.com/pages/Stephen-Jones-for-Throsby/324823886818,http://twitter.com/stephenjonesalp,,Whitlam,NSW,(02) 6277 4661,(02) 6277 8548,Shop 244,Stockland Shellharbour,Shellharbour City Centre,NSW,2529,(02) 4297 2285,,PO Box 264,Shellharbour City Centre,NSW,2529,Shadow Assistant TreasurerShadow Minister for Financial Services
Hon,Mr,MP,Joyce,/images/mps/10350.jpg,Barnaby,Barnaby,,https://www.facebook.com/BarnabyJoyceMP,https://twitter.com/Barnaby_Joyce,/Senators_and_Members/Contact_Senator_or_Member?MPID=e5d,New England,NSW,(02) 6277 4011,(02) 6277 8557,Suite 17,454-456 Peel Street,Tamworth,NSW,2340,(02) 6761 3080,,PO Box 963,Tamworth,NSW,2340,Ê
Hon,Mr,MP,Katter,/images/mps/10352.jpg,Robert,Bob,Bob.Katter.MP@aph.gov.au,http://www.facebook.com/bobkattermp,http://twitter.com/RealBobKatter,,Kennedy,QLD,(02) 6277 4978,(02) 6277 8558,Corner Edith and Owen Streets,,Innisfail,QLD,4860,(07) 4061 6066,(07) 4061 6566,PO Box 1638,Innisfail,QLD,4860,Ê
Ms,Ms,MP,Kearney,/images/mps/10907.jpg,Gerardine,Ged,Ged.Kearney.MP@aph.gov.au,https://www.facebook.com/GedKearneyLabor,https://twitter.com/gedkearney,,Cooper,VIC,(02) 6277 4152,(02) 6277 8559,283 High Street,,Preston,VIC,3072,(03) 9416 8690,,283 High Street,Preston,VIC,3072,Shadow Assistant Minister for SkillsShadow Assistant Minister for Aged Care
Mr,Mr,MP,Kelly,/images/mps/10750.jpg,Craig,,,http://www.facebook.com/CraigKellyMP,http://twitter.com/CraigKellyMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=99931,Hughes,NSW,(02) 6277 4366,(02) 6277 8567,"Shop 1, 9-15 East Parade",,Sutherland,NSW,2232,(02) 9521 6262,(02) 9545 0927,PO Box 1014,Sutherland,NSW,1499,Ê
