Title,Image,Surname,First Name,Preferred Name,Email,Facebook,Twitter,Other,State,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Label Address,Label Suburb,Label State,Label postcode,Parliamentary Titles
Senator the Hon,10790.jpg,Henderson,Sarah,Sarah,https://www.facebook.com/SarahHendersonMP,,,,VIC,231-233 Moorabool Street,,Geelong,VIC,3220,(03) 5221 5900,,,PO Box 321,Geelong,VIC,3220,
Senator,10943.jpg,Hughes,Hollie,Hollie,senator.hughes@aph.gov.au,,,,NSW,Suite 14.02 (Level 14) Royal Exchange Building,56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9325,,,PO Box 36,Sydney,NSW,2001,
Senator the Hon,10853.jpg,Hume,Jane,Jane,senator.hume@aph.gov.au,,,,VIC,223 Bridge Road,,Richmond,VIC,3121,(03) 9428 1773,,,PO Box 224,Richmond,VIC,3121,"Assistant Minister for Superannuation, Financial Services and Financial Technology"
Senator the Hon,10906.jpg,Keneally,Kristina,Kristina,senator.keneally@aph.gov.au,,,,NSW,Suite 503 Level 5,56 Station Street,Parramatta,NSW,2150,(02) 9891 9139,,1300 088 904,PO Box W4,Parramatta Westfield,NSW,2150,Deputy Leader of the Opposition in the Senate
Senator,10897.jpg,Kitching,Kimberley,Kimberley,senator.kitching@aph.gov.au,,,,VIC,Tenancy 3,6 English Street,Essendon Fields,VIC,3041,(03) 9374 1640,,,"Tenancy 3, 6 English Street",Essendon Fields,VIC,3041,
Senator,10830.jpg,Lambie,Jacqui,Jacqui,senator.lambie@aph.gov.au,,,,TAS,Shop 4,22 Mount Street,Burnie,TAS,7320,(03) 6431 3112,,,PO Box 256,Burnie,TAS,7320,
Senator,10782.jpg,Lines,Susan,Sue,senator.lines@aph.gov.au,,,,WA,51 Ord Street,,West Perth,WA,6005,(08) 9481 4844,(08) 9481 4244,1300 065 388,PO Box 1322,West Perth,WA,6872,Deputy President and Chair of Committees
Senator,10839.jpg,McAllister,Jennifer,Jenny,jennifer.mcallister@aph.gov.au,,,,NSW,Suite 1,1 Park Avenue,Drummoyne,NSW,2047,(02) 9719 8100,(02) 9719 8078,1300 030 752,"Suite 1, 1 Park Avenue",Drummoyne,NSW,2047,
Senator,10855.jpg,McCarthy,Malarndirri,Malarndirri,Senator.McCarthy@aph.gov.au,,,,NT,38B Mitchell Street,,Darwin,NT,800,(08) 8941 0003,(08) 8941 0071,,PO Box 1596,Darwin,NT,801,Deputy Opposition Whip in the Senate
Senator,10951.jpg,McDonald,Susan,Susan,senator.mcdonald@aph.gov.au,,,,QLD,"Level 1, 131 Denham Street",,Townsville,QLD,4810,(07) 4771 3066,,1300 301 949,PO Box 2185,Townsville,QLD,4810,
Senator the Hon,10833.jpg,McGrath,James,James,senator.mcgrath@aph.gov.au,,,,QLD,Tenancy A,2-4 Mitchell Street,Nambour,QLD,4560,(07) 5441 1800,(07) 5441 1699,1300 076 412,PO Box 772,Nambour,QLD,4560,Deputy Government Whip in the Senate
Senator the Hon,10758.jpg,McKenzie,Bridget,Bridget,senator.mckenzie@aph.gov.au,,,,VIC,172 High Street,,Wodonga,VIC,3690,(02) 6024 2560,(02) 6024 2635,1300 889 103,172 High Street ,Wodonga,VIC,3690,(Leader of the Nationals in the Senate) 
Senator,10841.jpg,McKim,Nicholas,Nick,senator.mckim@aph.gov.au,,,,TAS,149B Macquarie Street,,Hobart,TAS,7000,(03) 6224 8899,(03) 6224 7599,1300 013 720,GPO Box 896,Hobart,TAS,7001,Deputy Leader of the Australian Greens in the Senate
Senator ,10959.jpg,McLachlan,Andrew,Andrew,,,,,SA,36 Grenfell Street,,Kent Town,SA,5067,(08) 8362 8600,(08) 8362 8579,,36 Grenfell Street,Kent Town,SA,5067,
Senator,10948.jpg,McMahon,Samantha,Sam,senator.mcmahon@aph.gov.au,,,,NT,"1, 229 McMillans Road",,Jingili,NT,810,(08) 8948 3555,(08) 8948 3544,,PO Box 4021,Casuarina,NT,811,
Senator,10904.jpg,Molan,Andrew,Jim,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=FAB,NSW,"Suite O101A, Riverside Plaza",131 Monaro Street,Queanbeyan,NSW,2620,(02) 6284 3115,,,"Suite O101A, Riverside Plaza, 131 Monaro Street",Queanbeyan,NSW,2620,
Senator,10747.jpg,O'Neill,Deborah,Deborah,senator.oneill@aph.gov.au,,,,NSW,"Suite 3.12, The Platinum Building",4 Ilya Avenue,Erina,NSW,2250,(02) 4367 4565,(02) 4367 3506,,"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,NSW,2250,
Senator,10958.jpg,O'Sullivan,Matthew,Matt,senator.matt.o'sullivan@aph.gov.au,,,,WA,Suite 5,162 Colin Street,West Perth,WA,6872,(08) 9226 5387,,,Suite 5,West Perth,WA,6872,
Senator,10845.jpg,Paterson,James,James,senator.paterson@aph.gov.au,,,,VIC,"Ground floor, 63 York Street",,South Melbourne,VIC,3205,(03) 9690 2201,,,"Ground floor, 63 York Street",South Melbourne,VIC,3205,
Senator,10903.jpg,Patrick,Rex,Rex,senator.patrick@aph.gov.au,,,,SA,Level 2,31 Ebenezer Place,Adelaide,SA,5000,(08) 8232 1144,(08) 8232 3744,1300 056 115,"Level 2, 31 Ebenezer Place",Adelaide,SA,5000,
Senator the Hon,10509.jpg,Payne,Marise,Marise,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=M56,NSW,2-12 Macquarie Street,,Parramatta,NSW,2150,(02) 9687 8755,(02) 9687 8466,,PO Box 1420,Parramatta,NSW,2150,"Minister for Foreign Affairs Minister for Women 
"
Senator,10515.jpg,Polley,Helen,Helen,senator.polley@aph.gov.au,,,,TAS,"'The Charles', Suite 101",287 Charles Street,Launceston,TAS,7250,(03) 6331 2599,(03) 6331 2588,1300 013 923,PO Box 1223,Launceston,TAS,7250,
Senator,10714.jpg,Pratt,Louise,Louise,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=I0T,WA,183 Great Eastern Highway,,Belmont,WA,6104,(08) 9277 1502,(08) 9277 1509,1300 054 179,PO Box 531,Belmont,WA,6984,
Senator,10952.jpg,Rennick,Gerard,Gerard,senator.rennick@aph.gov.au,,,,QLD,"Suite 14c, 421 Brunswick Street,",,Fortitude Valley,QLD,4006,(07) 3252 7101,,,PO Box 907 Fortitude Valley Post Shop,Fortitude Valley,QLD,4006,
Senator the Hon,10835.jpg,Reynolds,Linda,Linda,senator.reynolds@aph.gov.au,,,,WA,"Suite C, 117 Great Eastern Highway",,Rivervale,WA,6103,(08) 9477 5411,,,PO Box 369,Belmont,WA,6984,Minister for Defence
Senator,10836.jpg,Rice,Janet,Janet,senator.rice@aph.gov.au,,,,VIC,Shops 2-3,26 Lygon Street,Brunswick East,VIC,3057,(03) 9381 1446,,1300 784 377,Shops 2-3,Brunswick East,VIC,3057,Deputy Australian Greens Whip
Senator,10856.jpg,Roberts,Malcolm,Malcolm,senator.roberts@aph.gov.au,,,,QLD,"Commonwealth Parliament Offices Suite 2, Level 36 Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 9099,,,PO Box 228,Brisbane,QLD,4001,
Senator the Hon,10781.jpg,Ruston,Anne,Anne,senator.ruston@aph.gov.au,,,,SA,9 Renmark Avenue,,Renmark,SA,5341,(08) 8586 6600,(08) 8595 1700,1300 857 022,PO Box 1671,Renmark,SA,5341, Minister for Families and Social Services (Manager of Government Business in the Senate)
Senator the Hon,10715.jpg,Ryan,Scott,Scott,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=I0Q,VIC,Commonwealth Parliament Offices,"Level 3, 4 Treasury Place",East Melbourne,VIC,3002,(03) 9326 1088,,,"Commonwealth Parliament Offices, Level 3, 4 Treasury Place",East Melbourne,VIC,3002,President of the Senate
Senator,10949.jpg,Scarr,Paul,Paul,senator.scarr@aph.gov.au,,,,QLD,"Tenancy 3, Level 6, Springfield Tower",145 Sinnathamby Boulevard,Springfield Central,QLD,4300,(07) 3186 9350,,1300 884 489,PO Box 4287,Springfield Central,QLD,4300,
Senator the Hon,10822.jpg,Seselja,Zdenko,Zed,senator.seselja@aph.gov.au,,,,ACT,Shop 1,25 Ernest Cavanagh Street,Gungahlin,ACT,2912,(02) 6247 6444,(02) 6257 4140,,PO Box 705,Gungahlin,ACT,2912,"Assistant Minister for Finance, Charities and Electoral Matters"
Senator,10944.jpg,Sheldon,Anthony,Tony,senator.sheldon@aph.gov.au,,,,NSW,Suite 405 Henry Lawson Building,19 Roseby Street,Drummoyne,NSW,2047,(02) 9719 1078,,1300 884 092,Suite 405 Henry Lawson Building,Drummoyne,NSW,2047,
Senator,10584.jpg,Siewert,Rachel,Rachel,senator.siewert@aph.gov.au,,,,WA,"Unit 11, Level 2",440 William Street,Perth,WA,6000,(08) 9228 3277,,1300 088 218,"Unit 11, Level 2, 440 William Street",Perth,WA,6000,Australian Greens Whip
Senator,10768.jpg,Smith,Marielle,Marielle,senator.smith@aph.gov.au,,,,SA,Commonwealth Parliament Offices,"Suite 6, Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1050,(08) 8232 4161,,Commonwealth Parliament Offices,Adelaide,SA,5000,
Senator,10953.jpg,Smith,Dean,Dean,senator.marielle.smith@aph.gov.au,,,,WA,48 Ventnor Avenue,,West Perth,WA,6005,(08) 9481 0349,,1300 301 849,PO Box 930,West Perth,WA,6872,Government Whip in the Senate
Senator,10901.jpg,Steele-John,Jordon,Jordon,senator.steele-john@aph.gov.au,,,,WA,"Office 1.19, Level 1",140 William Street,Perth,WA,6000,(08) 6245 3310,,,GPO Box B58,Perth,WA,6838,
Senator,10610.jpg,Sterle,Glenn,Glenn,senator.sterle@aph.gov.au,,,,WA,Units G2 and G3 ,150-152 Riseley Street,Booragoon,WA,6154,(08) 9455 1420,(08) 9455 1421,1300 066 494,"Units G2 and G3, 150-152 Riseley Street",Booragoon,WA,6154,
Senator,10908.jpg,Stoker,Amanda,Amanda,,https://www.facebook.com/SenatorStoker/,,,QLD,"Suite 10, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3001 8170,(07) 3001 8178,,GPO Box 228,Brisbane,QLD,4001,
Senator,10763.jpg,Thorpe,Lidia,Lidia,,,,,VIC,4 Treasury Place,,East Melbourne,VIC,3002,(03) 9232 8140,,1300 883 502,4 Treasury Place,East Melbourne,VIC,3002,
Senator,10957.jpg,Urquhart,Anne,Anne,senator.urquhart@aph.gov.au,,,,TAS,1-3 Rooke Street,,Devonport,TAS,7310,(03) 6423 1933,(03) 6423 3544,1300 079 331,PO Box 360,Devonport,TAS,7310,Opposition Whip in the Senate
Senator,10956.jpg,Van,David,David,senator.van@aph.gov.au,,,,VIC,"Commonwealth Parliament Offices, Level 4, Suite 4.1",4 Treasury Place,East Melbourne,VIC,3002,(03) 9660 6660,,,"Commonwealth Parliament Offices, Level 4, Suite 4.1",East Melbourne,VIC,3002,
Senator,10764.jpg,Walsh,Jess,Jess,senator.walsh@aph.gov.au,,,,VIC,"Commonwealth Parliament Offices Level 4, Suite 4.6",4 Treasury Place,East Melbourne,VIC,3002,(03) 9232 8860,,,"Commonwealth Parliament Offices Level 4, Suite 4.6",East Melbourne,VIC,3002,
Senator,10857.jpg,Waters,Larissa,Larissa,senator.waters@aph.gov.au,,,,QLD,Level 1,251 Given Terrace,Paddington,QLD,4064,(07) 3367 0566,(07) 3367 0577,,Locked bag 3004,Paddington,QLD,4064,Leader of the Australian Greens in the Senate
Senator,10780.jpg,Watt,Murray,Murray,senator.watt@aph.gov.au,,,,QLD,Suite G04 Kay House,35 Scarborough Street,Southport,QLD,4215,(07) 5531 1033,,,PO Box 310,Southport Business Centre,QLD,4215,
Senator,10678.jpg,Whish-Wilson,Peter,Peter,senator.whish-wilson@aph.gov.au,,,,TAS,37 George Street,,Launceston,TAS,7250,(03) 6331 0033,(03) 6331 2044,1300 044 012,PO Box 5194,Launceston,TAS,7250,
Senator the Hon,10678.jpg,Wong,Penny,Penny,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=00AOU,SA,Level 4,19 Gouger Street,Adelaide,SA,5000,(08) 8212 8272,(08) 8212 8273,1300 030 698,"PO Box 6237, Halifax Street",Adelaide,SA,5000,Leader of the Opposition in the Senate
